date_key,date,year,quarter,quarter_label,month_num,month_name,month_short,month_label,year_month,fiscal_year,fiscal_quarter,is_holiday_season
2023-01-01,2023-01-01,2023,1,Q1,1,January,Jan,Jan 2023,2023-01,2023,FQ2,0
2023-02-01,2023-02-01,2023,1,Q1,2,February,Feb,Feb 2023,2023-02,2023,FQ2,0
2023-03-01,2023-03-01,2023,1,Q1,3,March,Mar,Mar 2023,2023-03,2023,FQ2,0
2023-04-01,2023-04-01,2023,2,Q2,4,April,Apr,Apr 2023,2023-04,2023,FQ3,0
2023-05-01,2023-05-01,2023,2,Q2,5,May,May,May 2023,2023-05,2023,FQ3,0
2023-06-01,2023-06-01,2023,2,Q2,6,June,Jun,Jun 2023,2023-06,2023,FQ3,0
2023-07-01,2023-07-01,2023,3,Q3,7,July,Jul,Jul 2023,2023-07,2023,FQ4,0
2023-08-01,2023-08-01,2023,3,Q3,8,August,Aug,Aug 2023,2023-08,2023,FQ4,0
2023-09-01,2023-09-01,2023,3,Q3,9,September,Sep,Sep 2023,2023-09,2023,FQ4,0
2023-10-01,2023-10-01,2023,4,Q4,10,October,Oct,Oct 2023,2023-10,2024,FQ1,0
2023-11-01,2023-11-01,2023,4,Q4,11,November,Nov,Nov 2023,2023-11,2024,FQ1,1
2023-12-01,2023-12-01,2023,4,Q4,12,December,Dec,Dec 2023,2023-12,2024,FQ1,1
2024-01-01,2024-01-01,2024,1,Q1,1,January,Jan,Jan 2024,2024-01,2024,FQ2,0
2024-02-01,2024-02-01,2024,1,Q1,2,February,Feb,Feb 2024,2024-02,2024,FQ2,0
2024-03-01,2024-03-01,2024,1,Q1,3,March,Mar,Mar 2024,2024-03,2024,FQ2,0
2024-04-01,2024-04-01,2024,2,Q2,4,April,Apr,Apr 2024,2024-04,2024,FQ3,0
2024-05-01,2024-05-01,2024,2,Q2,5,May,May,May 2024,2024-05,2024,FQ3,0
2024-06-01,2024-06-01,2024,2,Q2,6,June,Jun,Jun 2024,2024-06,2024,FQ3,0
2024-07-01,2024-07-01,2024,3,Q3,7,July,Jul,Jul 2024,2024-07,2024,FQ4,0
2024-08-01,2024-08-01,2024,3,Q3,8,August,Aug,Aug 2024,2024-08,2024,FQ4,0
2024-09-01,2024-09-01,2024,3,Q3,9,September,Sep,Sep 2024,2024-09,2024,FQ4,0
2024-10-01,2024-10-01,2024,4,Q4,10,October,Oct,Oct 2024,2024-10,2025,FQ1,0
2024-11-01,2024-11-01,2024,4,Q4,11,November,Nov,Nov 2024,2024-11,2025,FQ1,1
2024-12-01,2024-12-01,2024,4,Q4,12,December,Dec,Dec 2024,2024-12,2025,FQ1,1
2025-01-01,2025-01-01,2025,1,Q1,1,January,Jan,Jan 2025,2025-01,2025,FQ2,0
2025-02-01,2025-02-01,2025,1,Q1,2,February,Feb,Feb 2025,2025-02,2025,FQ2,0
2025-03-01,2025-03-01,2025,1,Q1,3,March,Mar,Mar 2025,2025-03,2025,FQ2,0
2025-04-01,2025-04-01,2025,2,Q2,4,April,Apr,Apr 2025,2025-04,2025,FQ3,0
2025-05-01,2025-05-01,2025,2,Q2,5,May,May,May 2025,2025-05,2025,FQ3,0
2025-06-01,2025-06-01,2025,2,Q2,6,June,Jun,Jun 2025,2025-06,2025,FQ3,0
2025-07-01,2025-07-01,2025,3,Q3,7,July,Jul,Jul 2025,2025-07,2025,FQ4,0
2025-08-01,2025-08-01,2025,3,Q3,8,August,Aug,Aug 2025,2025-08,2025,FQ4,0
2025-09-01,2025-09-01,2025,3,Q3,9,September,Sep,Sep 2025,2025-09,2025,FQ4,0
2025-10-01,2025-10-01,2025,4,Q4,10,October,Oct,Oct 2025,2025-10,2026,FQ1,0
2025-11-01,2025-11-01,2025,4,Q4,11,November,Nov,Nov 2025,2025-11,2026,FQ1,1
2025-12-01,2025-12-01,2025,4,Q4,12,December,Dec,Dec 2025,2025-12,2026,FQ1,1
2026-01-01,2026-01-01,2026,1,Q1,1,January,Jan,Jan 2026,2026-01,2026,FQ2,0
2026-02-01,2026-02-01,2026,1,Q1,2,February,Feb,Feb 2026,2026-02,2026,FQ2,0
2026-03-01,2026-03-01,2026,1,Q1,3,March,Mar,Mar 2026,2026-03,2026,FQ2,0
2026-04-01,2026-04-01,2026,2,Q2,4,April,Apr,Apr 2026,2026-04,2026,FQ3,0
2026-05-01,2026-05-01,2026,2,Q2,5,May,May,May 2026,2026-05,2026,FQ3,0
2026-06-01,2026-06-01,2026,2,Q2,6,June,Jun,Jun 2026,2026-06,2026,FQ3,0
2026-07-01,2026-07-01,2026,3,Q3,7,July,Jul,Jul 2026,2026-07,2026,FQ4,0
2026-08-01,2026-08-01,2026,3,Q3,8,August,Aug,Aug 2026,2026-08,2026,FQ4,0
2026-09-01,2026-09-01,2026,3,Q3,9,September,Sep,Sep 2026,2026-09,2026,FQ4,0
2026-10-01,2026-10-01,2026,4,Q4,10,October,Oct,Oct 2026,2026-10,2027,FQ1,0
2026-11-01,2026-11-01,2026,4,Q4,11,November,Nov,Nov 2026,2026-11,2027,FQ1,1
2026-12-01,2026-12-01,2026,4,Q4,12,December,Dec,Dec 2026,2026-12,2027,FQ1,1
