date_key,channel_key,sessions,orders,revenue,spend
2023-01-01,ORGANIC,23057,646,42407.59,0.0
2023-01-01,PAID_SRC,18067,506,33230.13,28221.08
2023-01-01,SOCIAL,15371,430,28271.13,16083.42
2023-01-01,EMAIL,13931,390,25624.32,1654.6
2023-01-01,DIRECT,7399,207,13610.38,0.0
2023-01-01,REFERRAL,3312,92,6093.13,0.0
2023-02-01,ORGANIC,27195,681,45809.51,0.0
2023-02-01,PAID_SRC,21843,547,36795.11,42022.44
2023-02-01,SOCIAL,16394,410,27616.63,21843.3
2023-02-01,EMAIL,13828,346,23294.29,2105.38
2023-02-01,DIRECT,7095,177,11953.0,0.0
2023-02-01,REFERRAL,3637,91,6127.52,0.0
2023-03-01,ORGANIC,27489,807,52935.45,0.0
2023-03-01,PAID_SRC,19298,567,37162.54,30888.1
2023-03-01,SOCIAL,17054,501,32841.15,20814.47
2023-03-01,EMAIL,13216,388,25451.44,1986.05
2023-03-01,DIRECT,7353,216,14159.96,0.0
2023-03-01,REFERRAL,3422,100,6590.99,0.0
2023-04-01,ORGANIC,28026,801,51828.09,0.0
2023-04-01,PAID_SRC,25296,723,46779.46,42219.05
2023-04-01,SOCIAL,18518,529,34244.71,18438.19
2023-04-01,EMAIL,16174,462,29909.94,2540.76
2023-04-01,DIRECT,8133,232,15040.39,0.0
2023-04-01,REFERRAL,4298,122,7948.59,0.0
2023-05-01,ORGANIC,37644,986,63232.28,0.0
2023-05-01,PAID_SRC,29928,784,50271.55,45174.47
2023-05-01,SOCIAL,17890,468,30051.64,20126.64
2023-05-01,EMAIL,16643,436,27957.18,2625.68
2023-05-01,DIRECT,8343,218,14015.54,0.0
2023-05-01,REFERRAL,4495,117,7550.88,0.0
2023-06-01,ORGANIC,31604,891,54009.27,0.0
2023-06-01,PAID_SRC,26659,752,45559.05,42381.62
2023-06-01,SOCIAL,18691,527,31942.43,19397.48
2023-06-01,EMAIL,15505,437,26497.66,2570.8
2023-06-01,DIRECT,8288,233,14164.55,0.0
2023-06-01,REFERRAL,5429,153,9278.45,0.0
2023-07-01,ORGANIC,36243,972,61159.07,0.0
2023-07-01,PAID_SRC,29486,791,49755.88,49866.84
2023-07-01,SOCIAL,22092,593,37280.03,24984.36
2023-07-01,EMAIL,17604,472,29705.67,3316.62
2023-07-01,DIRECT,9226,247,15569.3,0.0
2023-07-01,REFERRAL,5076,136,8566.22,0.0
2023-08-01,ORGANIC,31308,887,56455.37,0.0
2023-08-01,PAID_SRC,27568,781,49710.89,60032.02
2023-08-01,SOCIAL,18906,535,34092.05,26799.14
2023-08-01,EMAIL,17526,496,31603.78,2481.03
2023-08-01,DIRECT,9294,263,16759.2,0.0
2023-08-01,REFERRAL,4767,135,8596.64,0.0
2023-09-01,ORGANIC,31076,931,63544.45,0.0
2023-09-01,PAID_SRC,21570,646,44107.64,37002.9
2023-09-01,SOCIAL,17410,522,35600.75,20736.49
2023-09-01,EMAIL,15536,465,31769.47,2371.81
2023-09-01,DIRECT,7050,211,14417.76,0.0
2023-09-01,REFERRAL,4067,121,8316.59,0.0
2023-10-01,ORGANIC,31428,1029,67988.27,0.0
2023-10-01,PAID_SRC,26089,854,56437.38,53481.0
2023-10-01,SOCIAL,19178,628,41487.86,24070.34
2023-10-01,EMAIL,14898,488,32229.03,1863.53
2023-10-01,DIRECT,8265,270,17879.95,0.0
2023-10-01,REFERRAL,4061,133,8786.53,0.0
2023-11-01,ORGANIC,50559,1227,73319.88,0.0
2023-11-01,PAID_SRC,37024,899,53692.62,61089.77
2023-11-01,SOCIAL,32191,781,46684.07,38476.4
2023-11-01,EMAIL,26090,633,37836.59,3924.58
2023-11-01,DIRECT,13227,321,19181.76,0.0
2023-11-01,REFERRAL,7093,172,10286.31,0.0
2023-12-01,ORGANIC,33870,1165,76885.08,0.0
2023-12-01,PAID_SRC,29667,1020,67343.78,52346.8
2023-12-01,SOCIAL,20460,703,46444.96,23792.92
2023-12-01,EMAIL,17978,618,40810.5,2567.6
2023-12-01,DIRECT,10367,356,23533.97,0.0
2023-12-01,REFERRAL,4373,150,9927.51,0.0
2024-01-01,ORGANIC,35004,775,49506.65,0.0
2024-01-01,PAID_SRC,28571,632,40408.33,60504.55
2024-01-01,SOCIAL,21656,479,30628.96,28668.68
2024-01-01,EMAIL,15656,346,22142.55,2411.11
2024-01-01,DIRECT,10150,224,14355.97,0.0
2024-01-01,REFERRAL,4769,105,6745.18,0.0
2024-02-01,ORGANIC,30802,848,53437.22,0.0
2024-02-01,PAID_SRC,22673,624,39335.31,47856.56
2024-02-01,SOCIAL,20161,555,34977.55,23315.38
2024-02-01,EMAIL,13685,376,23742.58,2351.09
2024-02-01,DIRECT,8525,234,14789.96,0.0
2024-02-01,REFERRAL,3626,99,6290.72,0.0
2024-03-01,ORGANIC,26298,782,52330.51,0.0
2024-03-01,PAID_SRC,22166,659,44108.4,35493.9
2024-03-01,SOCIAL,15127,450,30102.68,16329.64
2024-03-01,EMAIL,12770,380,25412.32,1908.86
2024-03-01,DIRECT,7392,220,14710.78,0.0
2024-03-01,REFERRAL,4078,121,8115.69,0.0
2024-04-01,ORGANIC,27428,791,53876.52,0.0
2024-04-01,PAID_SRC,26797,772,52636.55,48513.61
2024-04-01,SOCIAL,17814,513,34992.81,22819.35
2024-04-01,EMAIL,13566,391,26646.97,2112.72
2024-04-01,DIRECT,8055,232,15822.07,0.0
2024-04-01,REFERRAL,4131,119,8114.64,0.0
