date_key,revenue,cogs,operating_expenses,marketing_spend,orders,new_customers,returning_customers,website_sessions
2023-01-01,149799.45,62808.43,62610.75,18150.59,2282,745,1537,66401
2023-02-01,153889.02,69449.02,63828.72,17898.56,2602,892,1710,83672
2023-03-01,172210.95,63305.62,61949.04,18739.82,2822,946,1876,120382
2023-04-01,184231.36,80405.58,65702.44,21404.18,2808,989,1819,105773
2023-05-01,185992.95,78440.84,69509.74,21754.19,2767,1160,1607,87010
2023-06-01,191610.03,79330.36,72522.1,23924.67,2924,859,2065,112996
2023-07-01,196123.48,82731.79,70601.14,21394.53,3033,1123,1910,103404
2023-08-01,199401.72,75822.23,71884.68,21919.89,3110,938,2172,102559
2023-09-01,201777.44,83860.03,69913.09,23175.38,3331,1118,2213,132081
2023-10-01,216073.07,92293.94,73226.31,24400.4,3438,1315,2123,123573
2023-11-01,239202.61,107535.42,79900.33,31187.81,3759,1322,2437,205677
2023-12-01,267319.52,109503.32,81959.85,34413.06,3921,1245,2676,157300
2024-01-01,167526.66,67652.31,69071.5,17788.4,2537,833,1704,93127
2024-02-01,164133.59,67289.0,64412.38,17535.23,2748,1017,1731,113288
2024-03-01,180502.63,79115.75,66742.93,19971.45,2736,897,1839,83168
2024-04-01,195176.84,83257.56,70011.42,21302.66,3057,1089,1968,128935
2024-05-01,204650.99,83785.1,70429.34,21027.76,3250,1141,2109,121814
2024-06-01,219488.18,94438.16,78425.89,23277.55,3284,1085,2199,115665
2024-07-01,205252.61,86604.6,73332.98,20960.83,3014,1248,1766,93243
2024-08-01,210328.5,92412.64,70566.7,20742.73,3102,1144,1958,130927
2024-09-01,240755.98,97737.04,80755.11,24632.92,3853,1114,2739,122358
2024-10-01,237954.27,98381.42,78310.52,27140.24,3713,1320,2393,132461
2024-11-01,273893.35,112887.29,85001.71,33627.47,4150,1370,2780,165632
2024-12-01,292433.2,114262.34,93253.39,34738.77,4305,1616,2689,146496
2025-01-01,184352.1,78519.69,66668.7,16387.65,2900,946,1954,101408
2025-02-01,196865.03,83711.17,69425.45,17823.13,3054,1058,1996,116567
2025-03-01,207087.99,86998.13,69514.34,20309.88,3357,1225,2132,119002
2025-04-01,226225.07,93953.14,75424.88,21436.91,3683,1384,2299,137199
2025-05-01,233546.83,91478.56,76075.11,22566.55,3463,1087,2376,122192
2025-06-01,242870.83,99962.5,79223.25,27549.9,3516,1195,2321,117253
2025-07-01,233468.69,96456.59,78483.87,21496.58,3603,1209,2394,109988
2025-08-01,261241.89,105529.83,82953.63,23249.12,3841,1269,2572,158153
2025-09-01,259758.57,108260.69,82017.78,25354.34,3930,1583,2347,114247
2025-10-01,261395.12,111898.29,87157.73,27259.84,4144,1500,2644,187140
2025-11-01,315606.37,144460.52,89366.39,31397.15,4775,1490,3285,173354
2025-12-01,331626.78,140441.14,103898.26,34252.3,4763,1798,2965,160020
