date_key,category_key,revenue,orders,cogs
2023-01-01,ELEC,49914.17,760,37136.14
2023-01-01,HOME,35107.04,535,19308.87
2023-01-01,APRL,27883.31,424,12686.91
2023-01-01,SPRT,22834.12,348,13746.14
2023-01-01,HLTH,19568.37,298,7612.1
2023-02-01,ELEC,47229.84,702,34666.7
2023-02-01,HOME,32152.62,478,18198.38
2023-02-01,APRL,29304.01,435,12805.85
2023-02-01,SPRT,23803.69,354,14091.78
2023-02-01,HLTH,19993.32,297,8317.22
2023-03-01,ELEC,55316.37,844,41763.86
2023-03-01,HOME,39733.6,606,21932.95
2023-03-01,APRL,29718.53,453,13521.93
2023-03-01,SPRT,26364.98,402,16003.54
2023-03-01,HLTH,21467.05,327,8500.95
2023-04-01,ELEC,59676.12,922,44995.79
2023-04-01,HOME,39576.32,612,21648.25
2023-04-01,APRL,30760.6,475,14549.76
2023-04-01,SPRT,26642.0,411,16065.13
2023-04-01,HLTH,24322.39,376,9072.25
2023-05-01,ELEC,62070.04,968,46614.6
2023-05-01,HOME,40879.54,637,23056.06
2023-05-01,APRL,33447.74,521,15218.72
2023-05-01,SPRT,28349.12,442,17292.96
2023-05-01,HLTH,24806.95,386,9228.19
2023-06-01,ELEC,60981.78,1006,45553.39
2023-06-01,HOME,43608.83,719,24202.9
2023-06-01,APRL,34876.25,575,15694.31
2023-06-01,SPRT,28881.87,476,17589.06
2023-06-01,HLTH,24939.83,411,9751.47
2023-07-01,ELEC,67313.17,1070,50013.69
2023-07-01,HOME,47792.35,760,26763.72
2023-07-01,APRL,36841.97,586,16468.36
2023-07-01,SPRT,32639.56,519,19910.13
2023-07-01,HLTH,24425.57,388,10038.91
2023-08-01,ELEC,57032.42,896,43002.44
2023-08-01,HOME,42203.28,663,23127.4
2023-08-01,APRL,36505.63,573,15295.86
2023-08-01,SPRT,31331.63,492,19018.3
2023-08-01,HLTH,24757.78,389,9680.29
2023-09-01,ELEC,60306.49,884,44385.58
2023-09-01,HOME,47008.87,689,26136.93
2023-09-01,APRL,33208.89,486,14213.4
2023-09-01,SPRT,30093.28,441,17604.57
2023-09-01,HLTH,24139.89,354,9921.49
2023-10-01,ELEC,69161.51,1047,51871.13
2023-10-01,HOME,46466.36,703,25184.77
2023-10-01,APRL,36817.0,557,16641.28
2023-10-01,SPRT,32605.91,493,19367.91
2023-10-01,HLTH,29088.94,440,12217.35
2023-11-01,ELEC,70673.41,1183,52298.32
2023-11-01,HOME,53498.97,895,29959.42
2023-11-01,APRL,46395.83,777,20785.33
2023-11-01,SPRT,37996.07,636,22759.65
2023-11-01,HLTH,34300.43,574,12622.56
2023-12-01,ELEC,84477.4,1280,62766.71
2023-12-01,HOME,60708.03,919,32296.67
2023-12-01,APRL,45796.03,693,20104.46
2023-12-01,SPRT,42219.96,639,26218.6
2023-12-01,HLTH,32695.53,495,14287.95
2024-01-01,ELEC,52886.41,828,39400.38
2024-01-01,HOME,39624.4,620,21753.8
2024-01-01,APRL,32610.33,510,15424.69
2024-01-01,SPRT,22988.78,359,13816.26
2024-01-01,HLTH,22196.68,347,8900.87
2024-02-01,ELEC,47093.36,747,35367.11
2024-02-01,HOME,33754.21,535,18261.03
2024-02-01,APRL,30085.59,477,14019.88
2024-02-01,SPRT,23987.47,380,14704.32
2024-02-01,HLTH,21270.5,337,8146.6
2024-03-01,ELEC,54914.02,821,40965.86
2024-03-01,HOME,38657.74,578,21686.99
2024-03-01,APRL,32316.6,483,15091.85
2024-03-01,SPRT,26325.88,393,16164.09
2024-03-01,HLTH,25770.49,385,10282.43
2024-04-01,ELEC,60271.47,885,45083.06
2024-04-01,HOME,42697.74,626,23611.85
2024-04-01,APRL,36210.67,531,15860.27
2024-04-01,SPRT,28499.96,418,17299.48
2024-04-01,HLTH,25024.05,367,11035.61
2024-05-01,ELEC,60526.95,892,44789.94
2024-05-01,HOME,48726.3,718,26945.64
2024-05-01,APRL,37899.11,558,16865.1
2024-05-01,SPRT,35423.37,522,20793.52
2024-05-01,HLTH,26434.47,389,11023.17
2024-06-01,ELEC,64594.68,1033,48316.82
2024-06-01,HOME,46461.29,743,26436.47
2024-06-01,APRL,38230.64,611,17891.94
2024-06-01,SPRT,35700.53,571,21027.61
2024-06-01,HLTH,28522.09,456,10638.74
2024-07-01,ELEC,65934.92,1028,49846.8
2024-07-01,HOME,48594.45,758,26386.79
2024-07-01,APRL,35029.39,546,15868.31
2024-07-01,SPRT,29439.97,459,18164.46
2024-07-01,HLTH,27918.49,435,10218.17
2024-08-01,ELEC,62598.58,948,46698.54
2024-08-01,HOME,44766.93,678,24935.18
2024-08-01,APRL,36737.75,556,17046.32
2024-08-01,SPRT,31625.82,479,19291.75
2024-08-01,HLTH,27712.46,419,11112.7
2024-09-01,ELEC,76121.46,1120,57623.95
2024-09-01,HOME,51438.84,757,27776.97
2024-09-01,APRL,44421.47,653,20700.41
2024-09-01,SPRT,36292.76,534,21449.02
2024-09-01,HLTH,28685.8,422,11187.46
2024-10-01,ELEC,73622.58,1158,54922.44
2024-10-01,HOME,50352.11,792,28902.11
2024-10-01,APRL,39346.24,618,17666.46
2024-10-01,SPRT,36156.66,568,22091.72
2024-10-01,HLTH,31921.77,502,13726.36
2024-11-01,ELEC,87356.29,1355,66303.42
2024-11-01,HOME,58292.67,904,32002.68
2024-11-01,APRL,47179.85,732,21514.01
2024-11-01,SPRT,43151.13,669,26192.74
2024-11-01,HLTH,37093.92,575,15579.45
2024-12-01,ELEC,96057.54,1557,70986.52
2024-12-01,HOME,56384.6,914,31631.76
2024-12-01,APRL,54156.77,878,24533.02
2024-12-01,SPRT,44679.0,724,27120.15
2024-12-01,HLTH,38180.91,618,15386.91
2025-01-01,ELEC,62437.2,1016,46703.03
2025-01-01,HOME,41242.08,671,22930.6
2025-01-01,APRL,32374.36,527,14795.08
2025-01-01,SPRT,28198.2,459,17059.91
2025-01-01,HLTH,24313.01,395,8825.62
2025-02-01,ELEC,65740.71,974,49437.01
2025-02-01,HOME,45911.55,680,25526.82
2025-02-01,APRL,31824.59,471,14862.08
2025-02-01,SPRT,26767.55,396,16167.6
2025-02-01,HLTH,25616.02,379,9477.93
2025-03-01,ELEC,67351.4,975,50648.25
2025-03-01,HOME,47448.72,686,27520.26
2025-03-01,APRL,37714.97,545,16481.44
2025-03-01,SPRT,28766.72,416,16857.3
2025-03-01,HLTH,27377.08,396,11142.47
2025-04-01,ELEC,74682.44,1152,54742.23
2025-04-01,HOME,50222.09,775,27471.48
2025-04-01,APRL,39785.24,613,18460.35
2025-04-01,SPRT,35342.58,545,21558.97
2025-04-01,HLTH,29514.49,455,12071.43
2025-05-01,ELEC,76524.81,1124,57164.03
2025-05-01,HOME,54045.76,794,30103.49
2025-05-01,APRL,41471.17,609,19325.57
2025-05-01,SPRT,34253.8,503,20381.01
2025-05-01,HLTH,31510.24,463,13139.77
2025-06-01,ELEC,81097.9,1227,60012.45
2025-06-01,HOME,54536.11,825,28631.46
2025-06-01,APRL,42025.37,635,19793.95
2025-06-01,SPRT,33190.63,502,19316.95
2025-06-01,HLTH,32606.23,493,13075.1
2025-07-01,ELEC,75755.8,1201,57422.9
2025-07-01,HOME,57644.18,914,31589.01
2025-07-01,APRL,42254.23,670,18507.35
2025-07-01,SPRT,35862.56,568,21409.95
2025-07-01,HLTH,29151.35,462,11427.33
2025-08-01,ELEC,91464.02,1383,67683.37
2025-08-01,HOME,62051.49,938,34562.68
2025-08-01,APRL,44696.8,676,20202.95
2025-08-01,SPRT,39295.47,594,23066.44
2025-08-01,HLTH,31087.52,470,11564.56
2025-09-01,ELEC,82466.04,1184,62096.93
2025-09-01,HOME,54254.95,779,31033.83
2025-09-01,APRL,48680.97,699,21857.76
2025-09-01,SPRT,36450.7,523,22453.63
2025-09-01,HLTH,33201.66,476,12284.61
2025-10-01,ELEC,82560.74,1272,62828.72
2025-10-01,HOME,56800.33,875,31467.38
2025-10-01,APRL,40706.54,627,18358.65
2025-10-01,SPRT,38756.53,597,22943.87
2025-10-01,HLTH,37122.87,572,14106.69
2025-11-01,ELEC,99636.23,1429,75524.26
2025-11-01,HOME,78367.26,1124,43023.63
2025-11-01,APRL,56848.71,815,25581.92
2025-11-01,SPRT,47809.83,685,28781.52
2025-11-01,HLTH,39851.99,571,16339.32
2025-12-01,ELEC,105946.78,1853,79883.87
2025-12-01,HOME,70357.51,1231,38626.27
2025-12-01,APRL,58931.8,1031,25046.02
2025-12-01,SPRT,43150.52,755,25329.36
2025-12-01,HLTH,45797.51,801,20013.51
2026-01-01,ELEC,66836.35,990,50327.77
2026-01-01,HOME,43460.91,644,24381.57
2026-01-01,APRL,36126.83,535,15209.4
2026-01-01,SPRT,33366.98,494,19519.68
2026-01-01,HLTH,28622.45,424,12021.43
2026-02-01,ELEC,64845.06,993,48374.41
2026-02-01,HOME,42984.1,658,23211.41
2026-02-01,APRL,37007.61,566,16875.47
2026-02-01,SPRT,32324.38,495,19233.01
2026-02-01,HLTH,26564.53,406,10067.96
2026-03-01,ELEC,70247.41,1095,52334.32
2026-03-01,HOME,52568.8,820,29123.12
2026-03-01,APRL,42453.24,662,19995.48
2026-03-01,SPRT,36418.34,568,21923.84
2026-03-01,HLTH,29380.23,458,11193.87
