date_key,region_key,revenue,orders
2023-01-01,NE,42599.87,649
2023-01-01,SE,34764.8,529
2023-01-01,MW,25877.33,394
2023-01-01,WE,32905.35,501
2023-01-01,SW,12827.19,195
2023-02-01,NE,44494.31,661
2023-02-01,SE,36112.08,537
2023-02-01,MW,28982.59,431
2023-02-01,WE,28069.24,417
2023-02-01,SW,13159.68,195
2023-03-01,NE,43185.82,659
2023-03-01,SE,40431.83,617
2023-03-01,MW,28915.52,441
2023-03-01,WE,34943.36,533
2023-03-01,SW,14736.43,224
2023-04-01,NE,50137.2,775
2023-04-01,SE,45134.78,697
2023-04-01,MW,33068.29,511
2023-04-01,WE,41690.99,644
2023-04-01,SW,14806.44,228
2023-05-01,NE,48069.08,749
2023-05-01,SE,47306.61,737
2023-05-01,MW,32486.91,506
2023-05-01,WE,37096.87,578
2023-05-01,SW,14497.23,226
2023-06-01,NE,58481.83,965
2023-06-01,SE,48332.33,797
2023-06-01,MW,33768.31,557
2023-06-01,WE,41270.85,681
2023-06-01,SW,15032.99,248
2023-07-01,NE,61757.2,982
2023-07-01,SE,48148.29,765
2023-07-01,MW,36213.11,576
2023-07-01,WE,45814.39,728
2023-07-01,SW,15914.67,253
2023-08-01,NE,54964.7,863
2023-08-01,SE,47292.62,743
2023-08-01,MW,35738.11,561
2023-08-01,WE,43770.41,687
2023-08-01,SW,16648.57,261
2023-09-01,NE,56673.77,831
2023-09-01,SE,50555.34,741
2023-09-01,MW,36144.04,530
2023-09-01,WE,44600.48,654
2023-09-01,SW,14206.87,208
2023-10-01,NE,63826.75,966
2023-10-01,SE,52935.62,801
2023-10-01,MW,41222.1,624
2023-10-01,WE,39275.48,594
2023-10-01,SW,19451.8,294
2023-11-01,NE,66415.78,1112
2023-11-01,SE,61225.78,1025
2023-11-01,MW,40369.99,676
2023-11-01,WE,54559.39,913
2023-11-01,SW,17926.71,300
2023-12-01,NE,72048.14,1091
2023-12-01,SE,71524.56,1083
2023-12-01,MW,47567.0,720
2023-12-01,WE,59577.53,902
2023-12-01,SW,22501.97,340
2024-01-01,NE,48302.54,756
2024-01-01,SE,40569.27,635
2024-01-01,MW,30815.12,482
2024-01-01,WE,42170.66,660
2024-01-01,SW,13355.8,209
2024-02-01,NE,46511.92,738
2024-02-01,SE,41875.31,664
2024-02-01,MW,31503.75,500
2024-02-01,WE,38681.17,614
2024-02-01,SW,13633.91,216
2024-03-01,NE,47074.64,704
2024-03-01,SE,47566.31,711
2024-03-01,MW,30255.76,452
2024-03-01,WE,40431.65,604
2024-03-01,SW,13786.7,206
2024-04-01,NE,54439.21,799
2024-04-01,SE,47766.44,701
2024-04-01,MW,35809.22,525
2024-04-01,WE,44025.91,646
2024-04-01,SW,17125.95,251
2024-05-01,NE,58861.59,868
2024-05-01,SE,48396.71,713
2024-05-01,MW,38968.03,574
2024-05-01,WE,48236.45,711
2024-05-01,SW,15166.17,223
2024-06-01,NE,63659.54,1018
2024-06-01,SE,54893.31,878
2024-06-01,MW,38802.51,620
2024-06-01,WE,52273.16,836
2024-06-01,SW,17400.96,278
2024-07-01,NE,57903.75,903
2024-07-01,SE,48749.09,760
2024-07-01,MW,36980.0,577
2024-07-01,WE,42185.4,658
2024-07-01,SW,15001.45,234
2024-08-01,NE,64526.19,977
2024-08-01,SE,47913.62,726
2024-08-01,MW,35607.13,539
2024-08-01,WE,40293.74,610
2024-08-01,SW,16181.2,245
2024-09-01,NE,62060.17,913
2024-09-01,SE,63474.11,934
2024-09-01,MW,45961.77,676
2024-09-01,WE,50779.39,747
2024-09-01,SW,21863.46,321
2024-10-01,NE,70551.93,1109
2024-10-01,SE,55995.98,880
2024-10-01,MW,36408.53,572
2024-10-01,WE,59545.78,936
2024-10-01,SW,17449.2,274
2024-11-01,NE,69118.99,1072
2024-11-01,SE,69767.49,1082
2024-11-01,MW,56517.71,876
2024-11-01,WE,65261.23,1012
2024-11-01,SW,22652.83,351
2024-12-01,NE,84803.25,1374
2024-12-01,SE,73777.73,1196
2024-12-01,MW,55034.88,892
2024-12-01,WE,65420.74,1060
2024-12-01,SW,23540.92,381
2025-01-01,NE,51424.73,837
2025-01-01,SE,42242.98,687
2025-01-01,MW,32624.55,531
2025-01-01,WE,36437.74,593
2025-01-01,SW,14661.15,238
2025-02-01,NE,51852.61,768
2025-02-01,SE,44119.09,654
2025-02-01,MW,35818.19,531
2025-02-01,WE,46927.59,695
2025-02-01,SW,16616.97,246
2025-03-01,NE,52520.74,760
2025-03-01,SE,46749.98,676
2025-03-01,MW,39379.92,570
2025-03-01,WE,42873.67,620
2025-03-01,SW,16343.75,236
2025-04-01,NE,65433.54,1009
2025-04-01,SE,51139.5,789
2025-04-01,MW,40977.97,632
2025-04-01,WE,45785.89,706
2025-04-01,SW,17444.99,269
2025-05-01,NE,66647.8,979
2025-05-01,SE,50693.88,745
2025-05-01,MW,43149.44,634
2025-05-01,WE,51319.76,754
2025-05-01,SW,19303.1,283
2025-06-01,NE,68917.45,1042
2025-06-01,SE,63059.86,954
2025-06-01,MW,44045.21,666
2025-06-01,WE,52054.95,787
2025-06-01,SW,19572.24,296
2025-07-01,NE,67502.2,1070
2025-07-01,SE,56196.75,891
2025-07-01,MW,42126.71,667
2025-07-01,WE,49199.72,780
2025-07-01,SW,17934.62,284
2025-08-01,NE,66991.89,1013
2025-08-01,SE,69279.76,1048
2025-08-01,MW,43514.09,658
2025-08-01,WE,55083.81,833
2025-08-01,SW,19998.5,302
2025-09-01,NE,76637.8,1100
2025-09-01,SE,61238.79,879
2025-09-01,MW,50256.95,721
2025-09-01,WE,54837.61,787
2025-09-01,SW,21128.55,303
2025-10-01,NE,69522.26,1071
2025-10-01,SE,70809.36,1091
2025-10-01,MW,43698.45,673
2025-10-01,WE,58575.94,902
2025-10-01,SW,21706.81,334
2025-11-01,NE,90563.82,1299
2025-11-01,SE,74903.45,1074
2025-11-01,MW,56366.65,808
2025-11-01,WE,69615.92,998
2025-11-01,SW,25025.81,359
2025-12-01,NE,98225.59,1718
2025-12-01,SE,90146.62,1577
2025-12-01,MW,57696.12,1009
2025-12-01,WE,66961.62,1171
2025-12-01,SW,26389.61,461
2026-01-01,NE,68711.09,1018
2026-01-01,SE,48541.83,719
2026-01-01,MW,42012.71,622
2026-01-01,WE,51457.09,762
2026-01-01,SW,16435.71,243
2026-02-01,NE,60256.75,923
2026-02-01,SE,54823.3,839
2026-02-01,MW,36605.64,560
2026-02-01,WE,45222.43,692
2026-02-01,SW,16066.85,246
2026-03-01,NE,61022.53,951
2026-03-01,SE,53526.37,834
2026-03-01,MW,38704.49,603
2026-03-01,WE,51159.17,798
2026-03-01,SW,17707.68,276
